,href,city,buildingType,district,microDistrict,street,buildNumber,roomsTotal,metro,totalArea,livingArea,kitchenArea,floor,floorCount,price,longitude,latitude,distance,azimuth,priceMetr
335,https://valion.ua/properties/937894/,Киев,Квартиры,Оболонский,Оболонь,Балтийский переулок,23,1,Оболонь,43.0,18.0,10.0,3,25,1070700,30.46699131823975,50.49682715,6579.4240306526235,322.44,24900.0
336,https://valion.ua/properties/948288/,Киев,Квартиры,Дарницкий,Харьковский,Ревуцкого ул.,40,2,Харьковская,66.0,29.0,17.0,19,25,1780000,30.6495178,50.40452875,10277.562235844274,119.5,26969.696969696968
337,https://valion.ua/properties/947365/,Киев,Квартиры,Днепровский,Левобережный,Евгения Маланюка  ул.,101,1,None,51.0,21.0,14.0,3,25,1274000,30.58553926294809,50.46563415,4729.076054034425,68.35,24980.392156862745
338,https://valion.ua/properties/945779/,Киев,Квартиры,Голосеевский,None,Теремковская ул.,4а,1,Теремки,41.0,16.0,14.0,2,9,1475000,30.450317348647673,50.3716715,10151.853466843675,210.84,35975.60975609756
339,https://valion.ua/properties/931037/,Киев,Квартиры,Голосеевский,Печерск,Надднепрянское шоссе,2а,1,Выдубичи,42.0,17.0,14.0,19,24,1030000,0.0,0.0,6294223.410841964,217.4,24523.809523809523
340,https://valion.ua/properties/920432/,Киев,Квартиры,Святошинский,Нивки,Победы проспект,67,3,Нивки,86.0,49.0,14.0,13,16,2152490,30.40613622640488,50.458066099999996,8390.96585747758,276.2,25028.95348837209
341,https://valion.ua/properties/917209/,Киев,Квартиры,Шевченковский,Центр,Пирогова ул.,6а,4,None,188.0,130.0,25.0,7,8,10320000,30.505197260503913,50.4462609,1372.4188226781546,252.32,54893.617021276594
342,https://valion.ua/properties/947986/,Киев,Квартиры,Святошинский,Нивки,Победы проспект,67,3,Нивки,77.0,46.0,13.0,15,17,2327500,30.40613622640488,50.458066099999996,8390.96585747758,276.2,30227.272727272728
343,https://valion.ua/properties/947374/,Киев,Квартиры,Дарницкий,Осокорки,Малоземельная ул.,75а,1,Славутич,33.0,18.0,6.0,9,10,1090250,30.6023559,50.3920636,8535.311478721856,139.08,33037.878787878784
344,https://valion.ua/properties/946814/,Киев,Квартиры,Подольский,None,Правды проспект,41а,3,None,105.0,50.0,30.0,5,24,4400000,30.427572218741187,50.5022227,8956.694147076392,310.55,41904.76190476191
345,https://valion.ua/properties/939334/,Киев,Квартиры,Соломенский,Соломенка,Богдановская ул.,7,1,Вокзальная,49.0,20.0,12.0,10,25,1911000,30.297208457249518,50.31197295,22249.825381443985,226.37,39000.0
346,https://valion.ua/properties/948341/,Киев,Квартиры,Соломенский,Соломенка,Соломенская ул.,30,2,None,52.0,30.0,6.0,4,5,1056000,30.4866112,50.420322,4220.037307854172,218.47,20307.69230769231
347,https://valion.ua/properties/947794/,Киев,Квартиры,Оболонский,Минский,Автозаводская ул.,87а,1,Героев Днепра,28.0,23.6,4.4,3,5,963000,30.45443302338809,50.51656305,8884.336667933805,326.55,34392.857142857145
348,https://valion.ua/properties/947137/,Киев,Квартиры,Святошинский,None,Палладина Академика проспект,11,3,Академгородок,78.0,44.0,9.0,7,16,2131500,30.352691396288726,50.46208805,12212.152864927113,276.4,27326.923076923078
349,https://valion.ua/properties/909760/,Киев,Квартиры,Святошинский,None,Литвиненко-Вольгемут ул.,5б,1,None,24.0,12.0,4.1,9,9,86650,30.376549948062312,50.41919005,10996.035802191578,251.85,3610.4166666666665
350,https://valion.ua/properties/948140/,Киев,Квартиры,Дарницкий,Позняки,Драгоманова ул.,2,1,Позняки,51.0,13.0,24.0,14,25,1780000,30.6345429,50.4173518,8678.043017206506,114.76,34901.96078431373
351,https://valion.ua/properties/948133/,Киев,Квартиры,Оболонский,Оболонь,Балтийский переулок,23,1,Оболонь,54.9,18.0,12.0,2,25,1120500,30.46699131823975,50.49682715,6579.4240306526235,322.44,20409.83606557377
352,https://valion.ua/properties/948131/,Киев,Квартиры,Днепровский,Левобережный,Каховская ул.,60,1,Левобережная,31.0,15.0,6.0,11,26,906500,30.5913211,50.4631264,5025.210376928898,73.04,29241.935483870966
353,https://valion.ua/properties/948129/,Киев,Квартиры,Днепровский,Левобережный,Евгения Сверстюка ул.,4,1,Левобережная,44.0,14.0,16.0,11,25,1543000,30.6020992,50.4475018,5581.6395778230835,92.83,35068.181818181816
354,https://valion.ua/properties/948128/,Киев,Квартиры,Оболонский,Оболонь,Балтийский переулок,23,1,Оболонь,48.79,18.0,12.0,24,25,996000,30.46699131823975,50.49682715,6579.4240306526235,322.44,20414.01926624308
355,https://valion.ua/properties/947730/,Киев,Квартиры,Днепровский,Левобережный,Каховская ул.,60,4,Левобережная,117.0,55.5,16.0,25,26,2450000,30.5913211,50.4631264,5025.210376928898,73.04,20940.17094017094
356,https://valion.ua/properties/946672/,Киев,Квартиры,Дарницкий,Позняки,Бажана Николая проспект,7б,3,Харьковская,70.0,42.0,10.0,6,9,1976000,30.659256513233984,50.40430385,10896.966662526947,117.82,28228.571428571428
357,https://valion.ua/properties/945774/,Киев,Квартиры,Дарницкий,Позняки,Григоренко Петра проспект,12,3,Позняки,73.0,30.0,15.0,15,22,2100000,30.623408600519657,50.41253555,8224.829310137036,120.47,28767.12328767123
358,https://valion.ua/properties/502231/,Киев,Квартиры,Днепровский,Старая Дарница,Бышевский переулок,9,1,None,38.0,21.0,7.5,4,9,1037600,30.6449646,50.4391876,8703.542448192848,97.92,27305.263157894737
359,https://valion.ua/properties/948126/,Киев,Квартиры,Оболонский,Оболонь,Балтийский переулок,23,1,Оболонь,44.3,18.0,12.0,17,25,996000,30.46699131823975,50.49682715,6579.4240306526235,322.44,22483.06997742664
360,https://valion.ua/properties/947415/,Киев,Квартиры,Соломенский,Чоколовка,Смелянская ул.,15,2,None,70.0,38.0,12.0,10,15,2363000,30.44621890737922,50.42392675,6216.301842505897,242.15,33757.142857142855
361,https://valion.ua/properties/947733/,Киев,Квартиры,Днепровский,Левобережный,Евгения Сверстюка ул.,4,2,None,68.0,30.0,15.0,5,25,1994000,30.6020992,50.4475018,5581.6395778230835,92.83,29323.529411764706
362,https://valion.ua/properties/948125/,Киев,Квартиры,Оболонский,None,Балтийский переулок,23,1,Оболонь,43.0,16.0,12.0,24,25,996000,30.46699131823975,50.49682715,6579.4240306526235,322.44,23162.79069767442
363,https://valion.ua/properties/947371/,Киев,Квартиры,Оболонский,Оболонь,Героев Сталинграда проспект,16д,4,Минская,84.0,55.0,8.0,1,10,5257600,30.5088951,50.5080399,6540.210742284627,350.84,62590.47619047619
364,https://valion.ua/properties/947369/,Киев,Квартиры,Оболонский,Оболонь,Малиновского ул.,27б,3,Оболонь,76.0,44.0,8.0,3,12,2083200,30.2548779,50.5588294,22583.571113222202,302.59,27410.526315789473
